date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_plan_kwh,y_plan_kwh,q_plan_kwh,z_plan_kwh,soc_plan_end_kwh,soc_plan_start_kwh,grid_purchase_plan_kwh,pv_forecast_kwh,risk_adjusted_net_load_kwh,planned_cost_slot_yuan,price_forecast_yuan_per_kwh,price_real_yuan_per_kwh,settled_plan_cost_yuan,primary_status,secondary_status,max_constraint_violation
2025-02-01,1,0.34257499999999996,6000.0,833.3333333333334,460.8930916666666,0.0,0.0,6750.0,6000.0,1294.2264249999998,0.0,460.8930916666666,443.3696175443749,0.34257499999999996,0.3281,424.63569004249996,optimal,optimal,1.00000761449337e-07
2025-02-01,2,0.35675,6000.0,333.33333333333337,490.98937499999994,0.0,0.0,7050.0,6750.0,824.3227083333334,0.0,490.98937499999994,294.0771261979167,0.35675,0.3257,268.4819061041667,optimal,optimal,1.00000761449337e-07
2025-02-01,3,0.339675,6000.0,833.3333333333334,505.3920833333334,0.0,0.0,7800.0,7050.0,1338.7254166666667,0.0,505.3920833333334,454.73155590625,0.339675,0.3041,407.1063992083333,optimal,optimal,1.00000761449337e-07
2025-02-01,4,0.330125,6000.0,833.3333333333334,464.23665416666677,0.0,0.0,8550.0,7800.0,1297.5699875,0.0,464.23665416666677,428.3602921234375,0.330125,0.3126,405.6203780925,optimal,optimal,1.00000761449337e-07
2025-02-01,5,0.352175,6000.0,833.3333333333334,478.6173041666667,0.0,0.0,9300.0,8550.0,1311.9506375,0.0,478.6173041666667,462.0362157615626,0.352175,0.3286,431.10697948250004,optimal,optimal,1.00000761449337e-07
2025-02-01,6,0.38130000000000003,6000.0,0.0,500.37375,0.0,0.0,9300.0,9300.0,500.37375,0.0,500.37375,190.792510875,0.38130000000000003,0.3438,172.02849525,optimal,optimal,1.00000761449337e-07
2025-02-01,7,0.37044999999999995,6000.0,0.0,474.5624291666667,0.0,0.0,9300.0,9300.0,474.5624291666667,0.0,474.5624291666667,175.80165188479165,0.37044999999999995,0.3704,175.77792376333335,optimal,optimal,1.00000761449337e-07
2025-02-01,8,0.357475,6000.0,0.0,466.3732208333332,0.0,0.0,9300.0,9300.0,466.3732208333332,0.0,466.3732208333332,166.7167671173958,0.357475,0.3746,174.70340852416663,optimal,optimal,1.00000761449337e-07
2025-02-01,9,0.362625,6000.0,0.0,465.98000000000013,0.0,0.0,9300.0,9300.0,465.98000000000013,0.0,465.98000000000013,168.97599750000003,0.362625,0.3606,168.03238800000003,optimal,optimal,1.00000761449337e-07
2025-02-01,10,0.367375,6000.0,0.0,494.10242916666664,0.0,0.0,9300.0,9300.0,494.10242916666664,0.0,494.10242916666664,181.52087991510416,0.367375,0.3582,176.9874901275,optimal,optimal,1.00000761449337e-07
2025-02-01,11,0.3579,6000.0,0.0,509.0628958333333,0.0,0.0,9300.0,9300.0,509.0628958333333,0.0,509.0628958333333,182.19361041874998,0.3579,0.3041,154.80602662291665,optimal,optimal,1.00000761449337e-07
2025-02-01,12,0.34387500000000004,6000.0,833.3333333333334,494.31499999999994,0.0,0.0,10050.0,9300.0,1327.6483333333333,0.0,494.31499999999994,456.54507062500005,0.34387500000000004,0.2537,336.8243821666666,optimal,optimal,1.00000761449337e-07
2025-02-01,13,0.34972499999999995,6000.0,833.3333333333334,505.82389999999987,0.0,0.0,10800.0,10050.0,1339.1572333333334,0.0,505.82389999999987,468.33676342749993,0.34972499999999995,0.3346,448.08201027333337,optimal,optimal,1.00000761449337e-07
2025-02-01,14,0.37115000000000004,6000.0,0.0,509.8679625,0.0,0.0,10800.0,10800.0,509.8679625,0.0,509.8679625,189.237494281875,0.37115000000000004,0.3971,202.46856790875,optimal,optimal,1.00000761449337e-07
2025-02-01,15,0.38982500000000003,6000.0,0.0,509.4958333333333,0.0,0.0,10800.0,10800.0,509.4958333333333,0.0,509.4958333333333,198.61421322916667,0.38982500000000003,0.367,186.9849708333333,optimal,optimal,1.00000761449337e-07
2025-02-01,16,0.3895,6000.0,0.0,499.6755458333333,0.0,0.0,10800.0,10800.0,499.6755458333333,0.0,499.6755458333333,194.6236251020833,0.3895,0.3185,159.14666134791665,optimal,optimal,1.00000761449337e-07
2025-02-01,17,0.38965000000000005,6000.0,0.0,502.3506083333333,0.0,0.0,10800.0,10800.0,502.3506083333333,0.0,502.3506083333333,195.74091453708334,0.38965000000000005,0.3285,165.0221748375,optimal,optimal,1.00000761449337e-07
2025-02-01,18,0.403425,6000.0,0.0,537.5170833333335,0.0,0.0,10800.0,10800.0,537.5170833333335,0.0,537.5170833333335,216.84782934375005,0.403425,0.3772,202.75144383333338,optimal,optimal,1.00000761449337e-07
