date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_plan_kwh,y_plan_kwh,q_plan_kwh,z_plan_kwh,soc_plan_end_kwh,soc_plan_start_kwh,grid_purchase_plan_kwh,pv_forecast_kwh,risk_adjusted_net_load_kwh,planned_cost_slot_yuan,price_forecast_yuan_per_kwh,price_real_yuan_per_kwh,settled_plan_cost_yuan,primary_status,secondary_status,max_constraint_violation
2025-03-20,1,0.4295,6000.0,0.0,598.6134833333334,0.0,0.0,6000.0,6000.0,598.6134833333334,0.0,598.6134833333334,257.1044910916667,0.4295,0.4487,268.5978699716667,optimal,optimal,1.00000761449337e-07
2025-03-20,2,0.42155,6000.0,333.33333333333337,597.8871750000001,0.0,0.0,6300.0,6000.0,931.2205083333334,0.0,597.8871750000001,392.5560052879167,0.42155,0.4373,407.22272829416676,optimal,optimal,1.00000761449337e-07
2025-03-20,3,0.42565,6000.0,0.0,602.6766666666667,0.0,0.0,6300.0,6300.0,602.6766666666667,0.0,602.6766666666667,256.5293231666667,0.42565,0.4311,259.813911,optimal,optimal,1.00000761449337e-07
2025-03-20,4,0.44705,6000.0,0.0,593.3185291666667,0.0,0.0,6300.0,6300.0,593.3185291666667,0.0,593.3185291666667,265.24304846395836,0.44705,0.4344,257.73756907,optimal,optimal,1.00000761449337e-07
2025-03-20,5,0.4535,6000.0,0.0,594.9526416666666,0.0,0.0,6300.0,6300.0,594.9526416666666,0.0,594.9526416666666,269.81102299583335,0.4535,0.4238,252.14092953833332,optimal,optimal,1.00000761449337e-07
2025-03-20,6,0.4403,6000.0,0.0,597.2791666666666,0.0,0.0,6300.0,6300.0,597.2791666666666,0.0,597.2791666666666,262.9820170833333,0.4403,0.4296,256.59112999999996,optimal,optimal,1.00000761449337e-07
2025-03-20,7,0.4319,6000.0,0.0,582.2485083333333,0.0,0.0,6300.0,6300.0,582.2485083333333,0.0,582.2485083333333,251.47313074916667,0.4319,0.4989,290.4837808075,optimal,optimal,1.00000761449337e-07
2025-03-20,8,0.42264999999999997,6000.0,0.0,574.7021083333334,0.0,0.0,6300.0,6300.0,574.7021083333334,0.0,574.7021083333334,242.89784608708334,0.42264999999999997,0.5083,292.12108166583334,optimal,optimal,1.00000761449337e-07
2025-03-20,9,0.41375,6000.0,833.3333333333334,558.8016666666667,0.0,0.0,7050.0,6300.0,1392.1350000000002,0.0,558.8016666666667,575.9958562500001,0.41375,0.4468,622.0059180000001,optimal,optimal,1.00000761449337e-07
2025-03-20,10,0.41775,6000.0,833.3333333333334,572.085825,0.0,0.0,7800.0,7050.0,1405.4191583333334,0.0,572.085825,587.11385339375,0.41775,0.4284,602.0815674300001,optimal,optimal,1.00000761449337e-07
2025-03-20,11,0.4344,6000.0,0.0,591.4264166666667,0.0,0.0,7800.0,7800.0,591.4264166666667,0.0,591.4264166666667,256.9156354,0.4344,0.4436,262.3567584333333,optimal,optimal,1.00000761449337e-07
2025-03-20,12,0.4359,6000.0,0.0,614.4375,0.0,0.0,7800.0,7800.0,614.4375,0.0,614.4375,267.83330625,0.4359,0.454,278.954625,optimal,optimal,1.00000761449337e-07
2025-03-20,13,0.39854999999999996,6000.0,833.3333333333334,599.6575416666666,0.0,0.0,8550.0,7800.0,1432.990875,0.0,599.6575416666666,571.11851323125,0.39854999999999996,0.4404,631.08918135,optimal,optimal,1.00000761449337e-07
2025-03-20,14,0.4071,6000.0,833.3333333333334,578.84785,0.0,0.0,9300.0,8550.0,1412.1811833333334,0.0,578.84785,574.8989597350001,0.4071,0.4405,622.0658112583334,optimal,optimal,1.00000761449337e-07
2025-03-20,15,0.45415,6000.0,0.0,579.9141666666666,0.0,0.0,9300.0,9300.0,579.9141666666666,0.0,579.9141666666666,263.3680187916666,0.45415,0.4545,263.57098874999997,optimal,optimal,1.00000761449337e-07
2025-03-20,16,0.4474,6000.0,0.0,602.1956916666667,0.0,0.0,9300.0,9300.0,602.1956916666667,0.0,602.1956916666667,269.42235245166665,0.4474,0.4389,264.3036890725,optimal,optimal,1.00000761449337e-07
2025-03-20,17,0.4296,6000.0,0.0,620.2602749999999,0.0,0.0,9300.0,9300.0,620.2602749999999,0.0,620.2602749999999,266.46381413999995,0.4296,0.3868,239.91667436999992,optimal,optimal,1.00000761449337e-07
2025-03-20,18,0.42279999999999995,6000.0,0.0,612.0408333333332,0.0,0.0,9300.0,9300.0,612.0408333333332,0.0,612.0408333333332,258.7708643333333,0.42279999999999995,0.3634,222.4156388333333,optimal,optimal,1.00000761449337e-07
2025-03-20,19,0.41085,6000.0,833.3333333333334,595.1794666666667,0.0,0.0,10050.0,9300.0,1428.5128,0.0,595.1794666666667,586.9044838799999,0.41085,0.4416,630.83125248,optimal,optimal,1.00000761449337e-07
2025-03-20,20,0.4437,6000.0,0.0,583.0254666666667,0.0,0.0,10050.0,10050.0,583.0254666666667,0.0,583.0254666666667,258.68839956,0.4437,0.4839,282.12602332,optimal,optimal,1.00000761449337e-07
2025-03-20,21,0.49124999999999996,6000.0,0.0,596.5766666666666,0.0,0.0,10050.0,10050.0,596.5766666666666,0.0,596.5766666666666,293.06828749999994,0.49124999999999996,0.4574,272.8741673333333,optimal,optimal,1.00000761449337e-07
2025-03-20,22,0.46545000000000003,6000.0,0.0,618.2958333333333,0.0,0.0,10050.0,10050.0,618.2958333333333,0.0,618.2958333333333,287.78579562500005,0.46545000000000003,0.4575,282.87034375,optimal,optimal,1.00000761449337e-07
2025-03-20,23,0.43185,6000.0,0.0,601.1224583333333,0.0,0.0,10050.0,10050.0,601.1224583333333,0.0,601.1224583333333,259.59473363125,0.43185,0.4629,278.25958596249995,optimal,optimal,1.00000761449337e-07
2025-03-20,24,0.44435,6000.0,0.0,591.5725000000001,0.0,0.0,10050.0,10050.0,591.5725000000001,0.0,591.5725000000001,262.86524037500004,0.44435,0.4426,261.82998850000007,optimal,optimal,1.00000761449337e-07
